Municipio,CodIbge,Estado,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mata Roma,210640,MA,1.0,3.0,1.0,0.0,3.0,4.0,2.0,1.0,11.0,2.0,0.0,26.0
Matinha,210650,MA,0.0,0.0,2.0,23.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0
Matões,210660,MA,83.0,40.0,98.0,91.0,17.0,38.0,21.0,71.0,35.0,8.0,2.0,4.0
Matões do Norte,210663,MA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
Milagres do Maranhão,210667,MA,1.0,0.0,5.0,16.0,3.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0
Mirador,210670,MA,60.0,46.0,3.0,6.0,11.0,1.0,5.0,19.0,18.0,23.0,3.0,3.0
Miranda do Norte,210675,MA,15.0,0.0,1.0,15.0,32.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0
Mirinzal,210680,MA,0.0,0.0,1.0,17.0,13.0,0.0,0.0,11.0,3.0,1.0,0.0,0.0
Monção,210690,MA,4.0,5.0,0.0,2.0,40.0,2.0,16.0,13.0,58.0,0.0,2.0,3.0
Montes Altos,210700,MA,10.0,5.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,26.0,2.0,1.0
Morros,210710,MA,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nina Rodrigues,210720,MA,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
Nova Colinas,210725,MA,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25.0,11.0,0.0,4.0
Nova Iorque,210730,MA,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0
Nova Olinda do Maranhão,210735,MA,0.0,3.0,2.0,11.0,21.0,5.0,25.0,122.0,39.0,1.0,4.0,40.0
Olho d'Água das Cunhãs,210740,MA,2.0,2.0,0.0,8.0,22.0,11.0,0.0,1.0,2.0,0.0,0.0,1.0
Olinda Nova do Maranhão,210745,MA,0.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0
Paço do Lumiar,210750,MA,4.0,1.0,31.0,42.0,14.0,6.0,3.0,2.0,5.0,0.0,0.0,4.0
Palmeirândia,210760,MA,1.0,3.0,1.0,6.0,7.0,3.0,1.0,6.0,4.0,4.0,1.0,1.0
Paraibano,210770,MA,22.0,36.0,38.0,46.0,38.0,27.0,8.0,59.0,62.0,47.0,0.0,28.0
Parnarama,210780,MA,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0
Passagem Franca,210790,MA,66.0,56.0,31.0,30.0,58.0,55.0,33.0,87.0,114.0,31.0,3.0,8.0
