 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210840 Peri Mirim";-;-;-;1;-;1;2;2;-;1;1;-;-;1;-;-;1;2;1;1;1;-;-;-;1;-;1;1;1;-;1;1;1;3;1;1;-;1;-;1;-;1;3;-;2;2;-;2;-;2;-;3;-;3;1;1;1;-;1;2;-;-;-;-;1;-;3;2;-;4;1;2;-;1;-;1;1;1;3;2;1;-;2;1;1;-;-;1;1;2;-;2;3;1;-;-;-;-;-;1;-;1;3;1;2;1;2;2;5;1;1;-;-;3;2;1;2;7;2;-;1;3;-;2;-;1;3;3;4;-;3;3;1;1;-;2;1;3;3;2;-;1;-;2;-;2;2;1;1;3;1;1;-;-;3;-;2;1;4;1;-;2;1;-;191
"210845 Peritoró";-;-;-;-;-;1;3;1;4;1;1;1;1;2;-;1;2;2;3;1;-;-;1;1;2;3;1;1;1;1;2;1;-;-;1;-;-;5;-;1;-;1;-;4;1;1;-;2;1;1;-;2;-;1;1;1;4;1;2;2;3;-;2;3;1;1;1;4;2;5;4;3;5;4;3;7;5;7;4;10;6;6;2;6;6;4;4;3;3;6;3;-;2;7;4;4;6;3;2;2;3;-;1;7;1;5;4;4;3;5;10;-;2;3;5;3;2;4;5;1;5;-;5;1;4;2;1;7;5;4;2;4;4;2;3;4;5;1;3;7;4;5;3;3;3;8;2;6;7;8;4;1;2;3;4;11;4;4;6;4;2;2;1;3;460
"210850 Pindaré-Mirim";-;-;-;-;1;-;-;-;1;2;-;-;1;1;1;3;2;1;4;1;2;-;1;-;2;1;-;-;-;3;3;2;4;2;3;1;2;2;2;4;-;-;1;-;6;4;3;2;6;-;-;2;3;4;2;3;5;-;5;-;1;-;-;2;-;4;1;2;6;2;4;2;3;3;8;2;5;5;4;-;2;4;4;3;2;1;1;2;1;-;5;3;1;8;7;4;6;4;3;2;3;-;8;2;3;2;3;4;1;3;2;6;1;1;4;6;10;2;3;6;5;5;2;3;1;3;3;3;3;5;6;7;8;7;5;2;4;5;4;7;7;5;5;7;4;3;8;5;4;6;6;5;6;9;14;4;2;3;5;8;3;4;5;1;502
"210860 Pinheiro";-;-;-;-;1;1;4;4;2;7;10;4;7;5;6;2;3;3;7;4;10;18;6;3;5;5;5;9;12;6;8;12;9;5;5;11;14;6;6;9;4;9;12;11;10;4;2;7;11;11;10;5;6;11;9;4;11;9;11;7;12;10;8;7;5;7;10;6;13;9;15;13;11;17;6;9;7;6;16;6;8;13;7;4;10;10;8;6;8;8;10;9;8;9;15;9;7;6;12;13;9;12;10;16;19;15;14;17;11;28;18;8;8;15;16;21;18;16;18;20;17;19;13;20;9;13;18;22;17;28;27;16;14;28;14;14;14;22;23;8;19;13;22;19;10;18;13;21;17;21;17;18;22;21;47;17;15;16;18;10;19;15;20;16;1880
"210870 Pio XII";-;-;-;-;-;-;2;1;2;-;5;-;2;1;1;1;-;-;1;-;-;-;2;-;-;1;3;2;-;1;-;1;-;1;2;-;1;-;1;1;1;-;1;2;1;1;1;-;-;-;1;-;1;1;1;1;1;-;-;-;-;-;4;-;2;1;2;-;-;2;2;-;2;2;1;2;2;3;-;4;-;2;3;3;3;4;-;1;2;3;1;2;1;-;2;2;3;2;3;1;4;2;2;3;-;2;1;2;3;2;-;1;-;3;2;-;2;3;1;3;1;1;2;2;3;-;3;-;9;4;2;5;5;5;3;4;4;1;3;8;5;2;4;2;2;4;4;8;1;1;1;1;5;2;2;9;6;3;2;4;4;1;-;1;287
"210880 Pirapemas";-;-;-;-;-;-;1;-;1;-;1;1;-;2;-;1;-;3;-;-;1;1;-;-;2;-;1;-;1;1;1;-;1;-;-;-;-;1;-;-;-;-;1;2;-;-;-;-;1;1;1;1;-;1;-;1;1;-;1;1;-;-;2;2;1;-;-;-;-;1;2;1;1;-;-;1;-;5;2;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;2;-;3;2;-;-;2;-;-;-;1;2;-;1;2;2;2;3;4;1;-;2;4;-;1;-;-;1;2;-;1;1;-;2;-;2;2;1;1;2;3;1;-;-;-;-;3;3;1;3;2;4;1;2;2;2;3;2;1;5;2;3;4;3;1;1;1;2;-;1;159
"210890 Poção de Pedras";-;-;-;-;-;1;-;4;-;-;1;1;-;-;-;1;-;1;1;1;-;-;1;-;-;3;1;1;-;1;1;2;-;1;-;2;-;1;-;1;-;1;1;-;-;2;-;-;1;1;1;-;1;-;1;1;1;2;2;-;2;1;-;1;1;1;1;1;3;2;2;2;4;2;1;2;1;2;3;3;4;4;1;-;3;2;5;1;5;7;4;2;5;5;2;1;2;4;3;1;6;2;1;2;4;1;2;-;4;5;3;3;4;4;3;2;3;1;4;5;4;2;3;4;3;3;1;3;4;5;6;4;5;1;-;2;4;7;7;2;2;3;-;4;4;5;3;1;3;1;3;3;1;1;3;4;5;10;5;3;1;2;-;-;333
"210900 Porto Franco";-;-;2;1;-;1;2;1;-;1;1;2;-;1;1;1;3;1;3;3;5;-;6;3;1;5;4;3;4;4;3;4;1;2;2;3;-;5;2;5;2;2;3;3;4;5;4;3;4;1;3;3;4;2;7;2;5;2;4;5;8;4;3;3;4;4;3;3;1;2;4;5;-;5;5;3;5;3;4;2;7;8;5;-;5;4;4;3;6;6;1;4;3;2;6;3;5;7;5;3;6;2;5;4;9;7;2;2;5;5;1;6;3;4;3;1;4;10;4;6;8;8;5;4;3;4;5;5;5;5;6;5;3;3;1;-;2;4;3;1;3;2;2;2;8;3;2;1;-;-;4;3;3;-;3;3;7;6;6;-;3;2;2;-;546
"210905 Porto Rico do Maranhão";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;-;-;-;-;1;1;1;1;-;1;1;-;1;-;1;1;1;-;1;-;-;-;1;-;-;1;1;-;-;-;1;1;1;-;-;1;1;-;-;1;1;1;-;2;-;1;1;2;1;-;-;-;1;-;3;1;-;-;-;2;-;-;-;1;2;1;1;-;1;1;1;2;-;1;1;1;1;-;-;1;-;2;1;1;1;-;-;1;-;1;-;71
"210910 Presidente Dutra";-;-;-;-;-;3;1;1;3;4;1;2;3;-;1;1;2;4;4;2;3;-;2;1;-;1;2;-;1;1;-;3;3;3;2;-;-;2;-;-;1;3;3;2;-;2;-;2;1;2;6;2;8;9;5;3;10;6;5;9;4;3;10;9;5;7;10;4;6;9;5;7;6;9;6;6;14;11;15;5;8;11;10;5;11;3;4;4;5;7;5;8;5;11;12;7;4;6;5;7;5;2;11;12;9;9;9;12;9;7;7;7;7;4;4;11;4;8;11;7;13;4;5;7;6;7;10;6;14;8;12;8;14;12;3;12;4;6;12;7;8;9;6;6;13;6;5;10;7;4;4;6;4;13;16;16;12;19;9;15;12;10;7;2;968
"210920 Presidente Juscelino";-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;1;1;1;-;-;-;2;-;-;-;2;-;-;1;-;1;-;-;-;-;-;-;2;-;-;1;1;2;1;3;-;2;-;2;1;1;1;1;-;1;1;-;2;1;-;-;1;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;2;-;1;-;2;-;-;-;-;1;1;1;-;1;1;-;1;-;-;3;1;-;1;1;1;-;-;4;1;1;-;1;4;1;-;1;85
"210923 Presidente Médici";-;-;-;-;-;-;-;2;-;-;-;-;1;-;2;2;1;-;-;1;-;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;1;-;2;-;1;1;-;1;1;1;-;-;1;-;1;1;1;-;1;-;1;2;1;1;2;-;1;1;-;2;1;2;-;1;1;-;1;-;-;3;3;-;-;5;1;-;1;1;-;-;-;1;1;-;1;-;2;1;1;1;-;-;-;-;4;2;-;1;-;1;1;-;-;-;-;-;-;1;1;-;1;-;1;-;-;2;1;-;1;1;-;2;-;1;2;-;1;-;-;2;-;1;1;-;-;4;-;101
"210927 Presidente Sarney";-;-;-;-;-;-;-;2;1;1;1;1;1;1;-;1;-;1;3;1;1;-;1;-;-;-;-;-;1;1;1;1;3;-;-;2;-;1;-;1;-;-;2;1;2;-;-;1;1;-;-;-;-;2;1;1;-;1;1;1;2;-;2;2;1;1;-;2;-;1;1;-;3;2;-;2;1;2;1;1;-;2;-;3;1;1;-;2;1;1;1;1;2;2;3;2;1;2;2;1;1;1;2;1;-;2;1;1;2;2;1;3;-;3;3;4;7;3;-;2;-;3;2;2;1;-;1;4;4;4;3;7;5;2;6;-;2;-;1;4;2;1;-;1;4;3;1;2;4;3;4;2;3;1;3;2;2;3;2;3;1;3;2;1;236
"210930 Presidente Vargas";-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;2;-;-;1;1;-;1;-;-;1;1;1;-;-;1;2;-;-;2;-;1;-;1;2;1;1;-;-;1;2;1;1;1;-;-;-;1;-;-;-;-;-;2;1;-;2;-;-;-;1;-;1;-;-;-;-;1;2;1;-;-;-;-;1;1;1;2;1;2;-;2;-;1;1;1;1;-;2;1;-;2;-;-;2;2;2;-;-;-;-;-;2;-;-;3;1;-;-;-;2;1;-;-;-;1;1;-;1;1;1;2;-;3;1;1;-;95
"210940 Primeira Cruz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;1;-;1;-;1;2;1;-;1;-;-;-;-;1;-;1;-;-;-;1;2;1;-;1;-;-;-;2;1;1;-;-;1;-;-;1;-;-;1;1;2;1;1;1;-;-;3;-;1;-;-;1;1;-;1;-;1;1;-;-;3;-;-;1;2;-;-;1;1;1;1;1;3;-;-;-;-;1;1;-;1;1;1;1;3;-;-;-;1;2;1;1;-;2;-;1;1;2;1;-;1;1;1;1;1;2;2;-;3;-;-;-;-;-;1;-;1;2;3;1;1;2;3;1;4;1;-;-;111
"210945 Raposa";-;-;-;-;-;1;1;-;-;1;3;2;3;-;1;1;2;3;3;2;3;2;4;1;3;3;3;1;2;1;2;4;-;3;1;-;5;2;-;1;5;3;-;-;2;1;2;1;5;3;1;2;3;3;-;-;2;-;3;5;5;3;1;2;3;4;5;1;2;4;4;1;2;3;3;3;1;3;2;2;2;5;3;3;4;8;7;3;1;5;2;3;7;3;6;3;6;4;3;1;6;4;4;1;8;-;8;8;3;5;2;7;5;4;4;2;5;1;6;4;2;6;1;2;1;3;8;4;5;3;5;6;1;3;-;8;7;3;5;5;2;10;6;6;8;4;2;3;5;4;2;4;4;8;9;4;3;3;7;5;3;6;3;4;518
"210950 Riachão";-;-;-;-;-;2;1;1;1;-;-;4;-;-;-;-;-;2;-;1;1;-;-;1;-;1;1;-;1;3;-;-;-;-;1;2;2;2;-;-;2;-;-;-;-;3;1;1;2;-;-;1;1;1;-;-;-;-;1;-;-;3;-;1;2;-;1;-;1;-;-;1;-;4;2;1;-;1;3;1;-;2;1;1;1;2;-;1;-;-;1;1;-;-;2;2;-;1;-;-;-;4;-;1;2;-;1;-;3;5;3;2;-;2;2;2;2;1;6;-;5;2;7;2;-;1;1;2;5;5;1;2;3;3;5;1;4;-;2;4;1;-;3;2;6;1;1;1;-;-;2;2;1;1;2;-;3;2;4;6;1;2;2;-;210
"210955 Ribamar Fiquene";-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;1;-;-;1;-;-;-;1;-;1;1;-;1;-;-;2;-;-;-;1;-;-;-;2;2;-;2;-;1;-;-;1;-;-;2;1;1;2;-;1;2;1;2;-;-;1;-;1;2;2;1;-;1;2;1;1;1;4;1;3;1;1;1;2;1;-;1;-;1;3;2;2;2;4;1;-;1;2;2;-;-;2;1;1;1;3;-;2;2;1;1;-;-;4;-;1;1;-;1;2;-;3;2;2;1;-;-;1;1;1;-;2;1;1;1;2;1;1;-;1;1;1;2;1;1;-;-;-;-;135
"210960 Rosário";1;-;-;1;3;-;-;4;-;-;1;2;3;1;4;1;1;2;1;1;-;2;-;3;3;1;2;2;-;6;-;2;2;3;3;4;1;1;4;1;2;1;3;-;3;3;-;1;1;3;2;4;3;1;3;3;3;2;1;4;2;1;1;4;2;3;4;1;7;7;8;4;3;7;7;4;10;5;4;3;3;6;2;3;5;3;7;2;4;3;-;2;2;4;7;1;2;3;3;7;1;1;1;4;7;2;7;5;7;5;2;2;4;4;2;4;4;3;7;5;3;8;5;2;5;9;6;3;2;3;6;1;3;5;4;5;5;1;3;2;8;4;6;5;4;5;3;6;5;14;6;9;3;2;7;5;7;5;5;8;5;6;5;1;557
"210970 Sambaíba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;2;-;-;-;-;1;-;-;-;-;1;2;-;-;1;-;1;1;1;-;2;-;1;-;-;1;-;1;-;1;2;-;1;-;-;43
"210975 Santa Filomena do Maranhão";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;-;1;-;-;1;-;-;1;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;1;2;-;-;1;-;1;1;2;-;-;1;1;2;2;-;-;-;-;-;-;1;1;-;1;1;-;1;2;3;1;1;-;-;-;2;-;-;2;1;-;1;-;-;-;-;-;-;1;1;1;2;1;1;3;-;1;2;2;-;-;70
"210980 Santa Helena";-;-;-;-;1;-;1;1;1;3;-;1;1;1;-;-;1;1;3;3;1;2;3;2;1;-;1;1;1;3;1;5;4;3;4;3;3;1;-;3;4;-;1;1;-;-;2;3;2;3;-;1;4;1;5;1;4;3;-;3;2;2;4;-;3;1;4;4;4;4;3;3;4;5;4;5;5;7;4;3;2;2;2;4;6;3;3;4;3;4;2;1;3;3;3;5;4;3;3;5;4;6;3;6;5;6;7;3;3;1;2;1;1;2;1;4;3;5;5;8;4;1;6;5;6;3;2;4;3;1;5;7;4;6;4;6;3;7;4;3;2;3;1;3;5;6;2;4;5;3;6;3;3;6;20;6;2;4;7;7;3;9;3;1;508
"210990 Santa Inês";-;-;-;1;1;2;6;2;2;3;6;3;6;9;3;4;7;3;10;4;4;1;3;3;3;7;7;5;10;5;6;4;7;7;12;10;8;6;6;4;7;8;8;8;9;5;13;6;6;13;11;15;12;9;9;15;11;11;8;6;9;5;4;8;7;8;18;17;15;23;20;16;20;20;26;24;13;17;24;9;20;18;9;13;7;13;7;7;10;2;14;21;16;25;23;25;19;20;26;21;21;26;18;19;9;6;15;10;11;11;15;18;23;19;23;14;17;13;12;10;20;20;14;18;23;22;22;26;23;20;22;19;26;31;12;26;19;25;18;26;34;17;24;18;28;15;18;30;25;16;30;20;22;24;87;38;38;30;22;21;19;13;9;8;2347
"211000 Santa Luzia";-;-;-;-;1;2;1;4;-;1;2;-;2;1;1;1;2;2;5;1;4;1;-;3;6;2;2;1;1;2;2;3;1;3;3;-;2;2;1;3;2;5;1;1;1;3;2;2;-;5;3;3;1;3;3;-;3;1;3;4;3;3;7;2;2;3;3;4;3;2;9;2;3;5;4;3;5;4;5;2;2;4;5;7;2;3;3;1;3;2;4;2;2;2;5;4;10;8;3;2;4;8;6;4;6;3;5;4;2;1;8;8;3;3;10;2;7;4;11;6;9;7;3;6;10;10;5;8;13;6;15;7;6;6;9;8;11;5;6;6;11;11;5;7;7;7;10;8;8;8;12;7;10;7;11;18;5;7;9;2;4;6;11;12;726
"211003 Santa Luzia do Paruá";-;-;-;-;2;-;-;2;-;2;-;1;3;-;-;1;-;3;5;-;1;-;2;1;-;-;-;1;-;-;2;2;1;1;3;2;1;2;3;2;2;2;1;2;1;-;2;-;1;2;3;3;4;-;-;2;5;4;-;3;4;1;1;2;-;3;1;3;-;-;3;2;1;1;2;2;2;1;2;2;6;1;3;1;2;1;1;1;2;5;5;3;4;1;-;5;9;1;-;1;2;5;3;6;1;4;1;4;-;3;3;-;2;5;5;2;4;1;4;5;5;2;3;3;1;-;1;1;2;3;3;2;3;4;1;3;6;4;2;1;-;2;3;1;2;2;6;2;3;4;2;1;2;4;4;9;4;2;4;3;5;1;5;1;347
"211010 Santa Quitéria do Maranhão";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;1;-;3;1;1;1;2;-;-;-;1;1;1;-;-;-;1;2;-;-;2;1;1;-;1;1;1;2;2;1;-;1;-;-;-;-;-;1;1;-;3;-;2;2;-;1;2;2;1;1;2;-;2;3;-;1;-;1;-;-;1;1;-;2;-;1;1;5;-;2;1;1;-;-;2;2;2;3;-;1;2;2;1;1;2;1;3;2;2;-;3;-;2;1;4;1;-;3;1;-;-;1;2;1;3;1;1;4;2;4;3;-;1;3;2;5;1;5;1;1;1;1;3;2;1;3;-;1;1;-;1;2;-;1;3;2;1;1;4;5;2;-;2;2;2;2;-;-;197
"211020 Santa Rita";1;-;-;-;3;-;-;-;1;1;1;-;-;-;1;1;2;1;1;1;-;-;-;2;1;1;1;2;-;-;1;1;2;-;1;2;3;2;1;3;1;-;2;-;2;1;2;1;3;2;1;-;2;-;1;3;2;1;2;3;3;1;5;1;2;1;1;2;1;2;4;3;2;4;3;2;2;1;3;3;7;3;5;2;3;5;5;2;2;1;1;5;2;4;1;-;2;4;2;6;7;2;8;1;2;4;2;4;-;1;3;4;5;4;7;2;2;3;1;4;2;4;4;3;1;4;3;4;3;7;6;1;7;4;3;7;8;4;8;4;2;2;4;5;1;6;3;3;3;3;3;3;2;5;6;6;6;4;3;6;3;1;1;-;408
"211023 Santana do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;1;-;1;-;1;-;1;-;1;-;1;-;-;1;-;-;2;-;-;1;-;1;-;-;-;1;1;1;-;-;-;-;-;1;-;1;1;-;-;1;-;-;1;-;2;-;-;-;-;1;2;1;1;-;1;1;-;2;1;-;-;-;-;48
"211027 Santo Amaro do Maranhão";-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;1;-;1;1;2;1;-;-;1;1;-;1;2;-;-;-;-;1;1;2;1;-;-;1;-;1;-;1;1;1;1;1;1;1;-;-;-;-;2;-;-;2;1;-;1;2;-;1;1;1;1;-;-;2;2;2;-;-;-;-;-;4;-;-;1;2;2;2;-;-;-;2;-;-;-;1;-;-;2;3;2;-;-;1;-;1;1;1;1;-;1;-;-;1;-;1;1;6;3;2;1;1;99
"211030 Santo Antônio dos Lopes";-;-;-;-;-;-;1;-;-;2;1;1;-;1;1;2;1;2;1;1;-;-;1;-;-;-;1;1;-;1;2;-;-;-;-;-;-;3;-;2;-;1;1;-;-;-;2;-;1;1;2;1;5;2;1;3;3;-;2;1;-;4;4;2;1;2;3;1;3;-;3;-;1;2;1;1;2;2;-;3;1;2;2;-;2;2;1;-;1;-;-;3;4;3;-;-;3;3;4;2;3;2;3;3;1;-;1;4;2;3;3;-;3;1;2;1;1;-;4;1;2;-;3;1;-;-;-;1;3;2;3;1;-;1;2;2;1;1;1;-;-;4;-;-;4;-;5;3;1;1;4;4;2;1;6;1;4;1;3;4;1;6;1;1;238
"211040 São Benedito do Rio Preto";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;2;1;1;-;-;-;2;1;2;1;-;2;-;1;-;2;1;1;2;2;2;3;-;-;2;3;-;3;2;1;1;1;-;2;-;-;1;2;-;2;-;3;2;-;1;-;1;-;1;1;-;-;-;1;2;1;-;2;1;-;1;1;2;2;1;1;2;-;1;3;-;-;1;2;-;2;1;-;2;2;3;1;2;1;1;2;1;2;2;-;4;-;3;-;1;2;1;1;2;1;1;1;4;1;1;-;3;3;3;1;1;1;4;-;4;2;3;3;1;1;1;2;3;2;-;1;1;3;2;3;5;5;5;3;5;-;2;1;1;-;204
"211050 São Bento";-;-;-;-;-;1;1;-;-;-;2;2;1;2;1;2;1;2;2;-;2;2;1;-;-;1;1;3;1;2;1;-;2;1;2;1;-;1;1;1;2;5;1;4;-;1;4;4;1;2;4;2;2;1;3;4;1;1;-;1;1;2;2;3;-;-;-;6;1;-;1;2;1;-;3;-;3;2;3;-;5;1;4;1;2;3;4;4;2;2;1;-;2;1;-;1;4;6;-;5;3;6;-;5;2;2;1;1;2;1;2;1;-;-;3;2;6;6;5;6;3;2;4;4;-;2;1;-;1;4;2;5;3;4;1;3;1;4;6;1;4;4;6;-;5;1;1;3;2;2;1;2;2;2;3;4;3;5;6;3;1;1;2;1;330
"211060 São Bernardo";-;-;-;-;-;-;1;-;-;3;-;-;-;-;1;2;1;-;-;2;1;-;1;1;2;1;-;-;-;-;-;-;-;1;1;-;1;-;3;2;1;1;-;2;2;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;1;-;2;2;3;1;-;1;-;1;2;-;1;-;1;1;3;1;-;-;-;2;-;2;-;1;-;1;1;-;-;3;-;-;1;-;2;-;3;2;2;-;1;2;1;-;1;-;4;-;1;-;-;1;1;-;-;3;2;2;2;3;-;2;-;1;2;3;1;4;1;-;-;2;2;3;1;1;2;1;2;1;-;1;1;1;1;-;2;1;-;3;1;6;8;4;1;2;5;2;1;3;2;173
"211065 São Domingos do Azeitão";-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;-;-;-;-;1;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;3;3;-;-;-;1;1;1;-;1;1;-;1;-;41
"211070 São Domingos do Maranhão";-;-;-;-;1;1;2;1;1;-;2;2;2;1;4;1;1;2;-;-;3;-;-;2;2;-;1;4;-;5;1;-;1;2;-;2;1;1;1;1;2;1;1;-;2;-;-;2;1;-;7;2;3;4;4;4;4;3;2;-;3;-;2;5;5;3;3;1;2;2;2;2;2;5;6;3;3;3;2;2;7;1;4;6;3;2;1;3;4;1;6;4;2;5;1;5;2;3;5;3;2;3;2;4;4;4;4;2;2;2;1;5;3;1;2;2;3;8;4;5;2;1;6;4;7;6;2;7;5;6;7;1;1;4;5;7;3;2;2;1;6;4;4;8;4;3;4;3;5;3;3;9;3;3;9;10;11;8;5;3;2;4;4;-;474
"211080 São Félix de Balsas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;2;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;1;-;2;1;2;2;-;-;-;41
