DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2017
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"172100 Palmas";-;57;80;114;127;159;65;22;19;9;31;14;24;721
"171570 Palmeirante";-;-;1;-;-;1;-;-;-;-;-;-;-;2
"171380 Palmeiras do Tocantins";-;-;-;2;-;-;-;-;-;-;-;1;-;3
"171575 Palmeirópolis";-;-;2;-;-;-;-;-;-;-;-;-;1;3
"171610 Paraíso do Tocantins";-;-;-;1;1;1;-;-;-;1;-;-;-;4
"171620 Paranã";-;1;1;3;1;-;-;-;-;-;-;-;-;6
"171630 Pau D'Arco";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"171650 Pedro Afonso";-;-;1;4;2;4;-;1;1;-;-;-;-;13
"171660 Peixe";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"171665 Pequizeiro";-;-;1;-;-;-;1;1;-;-;-;-;-;3
"171700 Pindorama do Tocantins";-;-;3;-;-;-;-;-;-;-;-;1;-;4
"171720 Piraquê";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"171750 Pium";-;-;1;-;2;-;-;1;-;1;1;2;3;11
"171780 Ponte Alta do Bom Jesus";-;-;-;-;-;-;-;1;2;2;-;-;-;5
"171790 Ponte Alta do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171800 Porto Alegre do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"171820 Porto Nacional";-;7;18;4;5;6;-;2;-;1;-;-;1;44
"171830 Praia Norte";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"171840 Presidente Kennedy";-;-;15;5;4;3;-;-;-;-;-;-;-;27
"171865 Rio da Conceição";-;25;8;4;3;-;-;-;-;-;-;-;1;41
"171870 Rio dos Bois";-;2;1;1;1;1;1;-;-;-;-;-;1;8
"171875 Rio Sono";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171880 Sampaio";-;2;8;-;-;-;-;-;-;-;-;-;-;10
"171886 Santa Fé do Araguaia";-;-;-;1;-;-;-;-;1;-;-;-;-;2
"171888 Santa Maria do Tocantins";-;-;1;5;-;-;-;-;-;-;-;-;-;6
"171900 Santa Tereza do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"172000 Santa Terezinha do Tocantins";-;1;-;3;2;-;1;-;-;-;-;-;-;7
"172020 São Miguel do Tocantins";-;-;1;8;3;-;-;-;-;-;-;-;-;12
"172030 São Sebastião do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"172049 São Valério";-;-;-;2;3;1;2;-;-;-;-;-;-;8
"172065 Silvanópolis";-;-;2;-;3;-;1;-;-;-;-;-;-;6
"172090 Taguatinga";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"172097 Talismã";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"172110 Tocantínia";-;-;1;1;1;1;-;2;-;-;-;1;-;7
"172120 Tocantinópolis";-;5;5;49;28;14;7;2;1;1;2;8;1;123
"172208 Wanderlândia";-;1;-;1;-;1;-;-;-;-;-;-;-;3
"172210 Xambioá";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"210005 Açailândia";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"210010 Afonso Cunha";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"210020 Alcântara";-;-;1;-;-;-;-;1;-;-;-;-;-;2
"210030 Aldeias Altas";-;-;-;2;6;2;-;-;-;-;-;-;-;10
"210047 Alto Alegre do Pindaré";-;-;-;-;-;-;-;1;-;-;-;4;1;6
"210050 Alto Parnaíba";-;-;-;11;3;2;5;2;2;-;-;-;-;25
"210060 Amarante do Maranhão";-;3;46;27;2;5;2;-;-;-;-;-;-;85
"210080 Anapurus";-;-;1;-;-;9;8;1;-;-;-;-;-;19
"210110 Axixá";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"210120 Bacabal";-;3;6;19;3;3;-;-;2;-;-;-;-;36
"210125 Bacabeira";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"210140 Balsas";-;10;294;216;64;50;7;2;-;1;1;2;-;647
"210150 Barão de Grajaú";-;-;-;5;-;2;-;-;-;-;-;-;-;7
"210160 Barra do Corda";-;4;-;-;-;-;-;41;69;41;10;-;-;165
"210200 Bom Jardim";-;4;5;2;4;1;1;-;-;-;-;-;-;17
"210207 Bom Lugar";-;-;-;2;-;-;-;-;-;-;-;-;-;2
